MasterItemNo,ItemDescription,PredictedQty,SafetyStock,RecommendedOrderQty,Vendor,VendorContact,VendorLeadDays,ProcurementStart,ProcurementFinish,NeededBy,ProjectPhase,ProcurementCycle,RiskNotes,Mitigations
511.0,,5,1,6,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,69,7,76,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
480.0,,32,4,36,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,67,7,74,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
302.0,,6,1,7,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,89,9,98,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,137,14,151,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,26,3,29,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
150.0,,51,6,57,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
357.0,,18,2,20,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
